id,timestamp_logged,event,note,operator,start_time,end_time,reading_id_start,reading_id_end
21,2026-03-28 11:43:34,Water Change: 80%,Changed: 80%. Fish infestion water turn yellow ph rad 7.75 from previously 8.12 so to make sure ill need to change the water emergency,ahmed,2026-03-28 11:19,2026-03-28 11:43,45290,45501
22,2026-03-28 11:44:45,Other,the issue was ammonia buildup because of the food waste and there poo so since we didnt have any sensor but this important water have to be changed maybe  every 3 days,ahmed,2026-03-28 11:44,2026-03-28 11:44,45511,45512
23,2026-03-30 21:03:07,Other,PH dropped because one oxygen pipe was disconnected while one was working ,Ahmed Al Khaldi,2026-03-30 21:03,2026-03-30 21:03,75842,75842
24,2026-03-30 21:40:27,Water Change: 90%,Changed: 90%. Yellowish water need change ph 7.3 ,Ahmed Al Khaldi,2026-03-30 21:16,2026-03-30 21:40,75964,76171
25,2026-03-31 16:51:12,Feeding,,Ahmed Al Khaldi,2026-03-31 16:49,2026-03-31 16:51,86289,86300
26,2026-04-01 11:19:32,Other,I’ll turn off the full iot setup to tak out the sad card so I can train the data ,Ahmed Al Khaldi,2026-04-01 11:14,2026-04-01 11:19,96011,1
27,2026-04-01 21:12:47,Other,test,ahmed Test,2026-04-01 21:12,2026-04-01 21:12,1,1
28,2026-04-01 21:17:25,Other,testing ag,ahmed Test,2026-04-01 21:17,2026-04-01 21:17,14,15
29,2026-04-02 13:30:20,Water Change: 90%,Changed: 90%,ahmed,2026-04-02 13:09,2026-04-02 13:30,150,343
30,2026-04-02 14:29:07,Feeding,,ahmed,2026-04-02 14:29,2026-04-02 14:29,7,7
31,2026-04-02 16:43:16,Actuator: Pump Opened,"Actuator: Pump, State: Opened. Recommended: Monitor fish behavior",,2026-04-02 16:43,2026-04-02 16:43,46,47
32,2026-04-03 10:54:28,Feeding,,ahmed,2026-04-03 10:54,2026-04-03 10:54,6563,6563
33,2026-04-04 12:10:24,Water Change: 90%,Changed: 90%,ahmed,2026-04-04 11:49,2026-04-04 12:10,20057,20246
34,2026-04-04 14:59:51,Actuator: Pump Opened,"Actuator: Pump, State: Opened. Recommended: Check water source and aeration",,2026-04-04 14:59,2026-04-04 14:59,21777,21777
35,2026-04-04 14:59:59,Feeding,,ahmed,2026-04-04 14:59,2026-04-04 14:59,21778,21778
36,2026-04-06 06:37:24,Water Change: 90%,Changed: 90%,ahmed,2026-04-06 06:19,2026-04-06 06:37,43067,43233
37,2026-04-06 06:37:31,Feeding,,ahmed,2026-04-06 06:37,2026-04-06 06:37,43234,43234
38,2026-04-08 17:41:10,Feeding,,ahmed,2026-04-08 17:41,2026-04-08 17:41,75184,75184
39,2026-04-09 15:42:55,Water Change: 100%,Changed: 100%,Ahmed Al Khaldi,2026-04-09 15:24,2026-04-09 15:42,86913,87062
40,2026-04-09 15:43:08,Feeding,,Ahmed Al Khaldi,2026-04-09 15:43,2026-04-09 15:43,87064,87064
